num	qua
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	12
44	78
45	514
46	2142
47	5104
48	8276
49	11168
50	14111
51	16715
52	19938
53	23381
54	26695
55	32611
56	42105
57	56190
58	75480
59	101866
60	135701
61	178135
62	229881
63	293339
64	374610
65	488574
66	664781
67	966240
68	1597908
69	2997108
70	4672013
71	2052137
72	7656
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
