percent	num
1	5
2	3
3	5
4	7
5	9
6	20
7	34
8	46
9	76
10	65
11	133
12	204
13	340
14	533
15	826
16	1303
17	2223
18	3860
19	6735
20	11011
21	17212
22	25825
23	37766
24	53795
25	73444
26	96527
27	123405
28	152925
29	185008
30	220318
31	254668
32	289739
33	325963
34	363828
35	399262
36	430967
37	459645
38	486543
39	510885
40	528037
41	537159
42	541181
43	540679
44	533683
45	524152
46	513630
47	501363
48	487557
49	472337
50	456032
51	439539
52	419047
53	394030
54	373314
55	354451
56	338441
57	319162
58	305384
59	284007
60	261960
61	236608
62	211210
63	186705
64	160930
65	136297
66	113127
67	92938
68	74733
69	58633
70	44421
71	32810
72	24115
73	17199
74	12642
75	9002
76	6715
77	4697
78	3460
79	2488
80	1834
81	1321
82	900
83	564
84	386
85	189
86	103
87	62
88	33
89	14
90	11
91	2
92	6
93	2
94	1
95	1
96	2
97	0
98	0
99	0
100	0
